X,Y,Means
0,0,-0.11394
0,0.02,-0.084242
0,0.04,-0.056043
0,0.06,-0.029922
0,0.08,-0.0064086
0,0.1,0.014038
0,0.12,0.031046
0,0.14,0.044341
0,0.16,0.053763
0,0.18,0.059271
0,0.2,0.060944
0,0.22,0.058982
0,0.24,0.053699
0,0.26,0.045508
0,0.28,0.034911
0,0.3,0.022476
0,0.32,0.0088167
0,0.34,-0.0054294
0,0.36,-0.019627
0,0.38,-0.033167
0,0.4,-0.045487
0,0.42,-0.056094
0,0.44,-0.064581
0,0.46,-0.070638
0,0.48,-0.074065
0,0.5,-0.074773
0,0.52,-0.072786
0,0.54,-0.068235
0,0.56,-0.06135
0,0.58,-0.052447
0,0.6,-0.041911
0,0.62,-0.03018
0,0.64,-0.017727
0,0.66,-0.0050375
0,0.68,0.0074068
0,0.7,0.019147
0,0.72,0.029764
0,0.74,0.038887
0,0.76,0.046212
0,0.78,0.051502
0,0.8,0.054593
0,0.82,0.055399
0,0.84,0.053905
0,0.86,0.050164
0,0.88,0.044292
0,0.9,0.036458
0,0.92,0.026874
0,0.94,0.015784
0,0.96,0.0034577
0,0.98,-0.0098271
0,1,-0.023789
0.02,0,-0.084242
0.02,0.02,-0.05099
0.02,0.04,-0.019451
0.02,0.06,0.0097372
0.02,0.08,0.035991
0.02,0.1,0.058804
0.02,0.12,0.077765
0.02,0.14,0.092575
0.02,0.16,0.10306
0.02,0.18,0.10918
0.02,0.2,0.11102
0.02,0.22,0.10881
0.02,0.24,0.1029
0.02,0.26,0.093752
0.02,0.28,0.081925
0.02,0.3,0.068051
0.02,0.32,0.052816
0.02,0.34,0.036927
0.02,0.36,0.021093
0.02,0.38,0.0059922
0.02,0.4,-0.0077498
0.02,0.42,-0.019583
0.02,0.44,-0.029053
0.02,0.46,-0.035816
0.02,0.48,-0.039645
0.02,0.5,-0.040442
0.02,0.52,-0.038231
0.02,0.54,-0.033158
0.02,0.56,-0.025477
0.02,0.58,-0.01554
0.02,0.6,-0.0037746
0.02,0.62,0.0093291
0.02,0.64,0.023244
0.02,0.66,0.037428
0.02,0.68,0.051341
0.02,0.7,0.064467
0.02,0.72,0.076336
0.02,0.74,0.08653
0.02,0.76,0.094704
0.02,0.78,0.10059
0.02,0.8,0.10399
0.02,0.82,0.10482
0.02,0.84,0.10304
0.02,0.86,0.098707
0.02,0.88,0.091952
0.02,0.9,0.082957
0.02,0.92,0.071955
0.02,0.94,0.059217
0.02,0.96,0.045042
0.02,0.98,0.029741
0.02,1,0.013632
0.04,0,-0.056043
0.04,0.02,-0.019451
0.04,0.04,0.015229
0.04,0.06,0.047301
0.04,0.08,0.076131
0.04,0.1,0.10117
0.04,0.12,0.12197
0.04,0.14,0.1382
0.04,0.16,0.14969
0.04,0.18,0.15638
0.04,0.2,0.15837
0.04,0.22,0.15593
0.04,0.24,0.14943
0.04,0.26,0.13938
0.04,0.28,0.1264
0.04,0.3,0.11117
0.04,0.32,0.094457
0.04,0.34,0.077025
0.04,0.36,0.059653
0.04,0.38,0.043085
0.04,0.4,0.028006
0.04,0.42,0.01502
0.04,0.44,0.0046248
0.04,0.46,-0.0028002
0.04,0.48,-0.0070082
0.04,0.5,-0.0078886
0.04,0.52,-0.005468
0.04,0.54,9.5943e-05
0.04,0.56,0.0085249
0.04,0.58,0.019435
0.04,0.6,0.032355
0.04,0.62,0.04675
0.04,0.64,0.062041
0.04,0.66,0.077629
0.04,0.68,0.092922
0.04,0.7,0.10735
0.04,0.72,0.1204
0.04,0.74,0.1316
0.04,0.76,0.14057
0.04,0.78,0.14701
0.04,0.8,0.15071
0.04,0.82,0.15155
0.04,0.84,0.1495
0.04,0.86,0.14462
0.04,0.88,0.13703
0.04,0.9,0.12694
0.04,0.92,0.1146
0.04,0.94,0.10031
0.04,0.96,0.084387
0.04,0.98,0.067185
0.04,1,0.049048
0.06,0,-0.029922
0.06,0.02,0.0097372
0.06,0.04,0.047301
0.06,0.06,0.082022
0.06,0.08,0.11322
0.06,0.1,0.1403
0.06,0.12,0.16278
0.06,0.14,0.18032
0.06,0.16,0.19272
0.06,0.18,0.19994
0.06,0.2,0.20208
0.06,0.22,0.19943
0.06,0.24,0.19239
0.06,0.26,0.18151
0.06,0.28,0.16746
0.06,0.3,0.151
0.06,0.32,0.13292
0.06,0.34,0.11407
0.06,0.36,0.095286
0.06,0.38,0.077371
0.06,0.4,0.061065
0.06,0.42,0.047021
0.06,0.44,0.035777
0.06,0.46,0.027743
0.06,0.48,0.023187
0.06,0.5,0.02223
0.06,0.52,0.024843
0.06,0.54,0.030858
0.06,0.56,0.039974
0.06,0.58,0.051777
0.06,0.6,0.065758
0.06,0.62,0.081338
0.06,0.64,0.097892
0.06,0.66,0.11477
0.06,0.68,0.13133
0.06,0.7,0.14696
0.06,0.72,0.16109
0.06,0.74,0.17321
0.06,0.76,0.18292
0.06,0.78,0.18987
0.06,0.8,0.19384
0.06,0.82,0.19469
0.06,0.84,0.19239
0.06,0.86,0.187
0.06,0.88,0.17864
0.06,0.9,0.16754
0.06,0.92,0.15397
0.06,0.94,0.13825
0.06,0.96,0.12072
0.06,0.98,0.10177
0.06,1,0.081763
0.08,0,-0.0064086
0.08,0.02,0.035991
0.08,0.04,0.076131
0.08,0.06,0.11322
0.08,0.08,0.14653
0.08,0.1,0.17543
0.08,0.12,0.19942
0.08,0.14,0.21813
0.08,0.16,0.23135
0.08,0.18,0.23903
0.08,0.2,0.2413
0.08,0.22,0.23846
0.08,0.24,0.23093
0.08,0.26,0.21932
0.08,0.28,0.20432
0.08,0.3,0.18675
0.08,0.32,0.16746
0.08,0.34,0.14734
0.08,0.36,0.1273
0.08,0.38,0.10818
0.08,0.4,0.090776
0.08,0.42,0.075786
0.08,0.44,0.063784
0.08,0.46,0.055206
0.08,0.48,0.05034
0.08,0.5,0.049314
0.08,0.52,0.0521
0.08,0.54,0.058517
0.08,0.56,0.068246
0.08,0.58,0.080846
0.08,0.6,0.095775
0.08,0.62,0.11241
0.08,0.64,0.1301
0.08,0.66,0.14813
0.08,0.68,0.16582
0.08,0.7,0.18252
0.08,0.72,0.19761
0.08,0.74,0.21056
0.08,0.76,0.22092
0.08,0.78,0.22833
0.08,0.8,0.23254
0.08,0.82,0.2334
0.08,0.84,0.23088
0.08,0.86,0.22502
0.08,0.88,0.21598
0.08,0.9,0.20398
0.08,0.92,0.18931
0.08,0.94,0.1723
0.08,0.96,0.15334
0.08,0.98,0.13281
0.08,1,0.11114
0.1,0,0.014038
0.1,0.02,0.058804
0.1,0.04,0.10117
0.1,0.06,0.1403
0.1,0.08,0.17543
0.1,0.1,0.2059
0.1,0.12,0.23119
0.1,0.14,0.25091
0.1,0.16,0.26484
0.1,0.18,0.27292
0.1,0.2,0.27531
0.1,0.22,0.27229
0.1,0.24,0.26435
0.1,0.26,0.2521
0.1,0.28,0.23629
0.1,0.3,0.21776
0.1,0.32,0.19742
0.1,0.34,0.17621
0.1,0.36,0.15508
0.1,0.38,0.13492
0.1,0.4,0.11657
0.1,0.42,0.10077
0.1,0.44,0.08811
0.1,0.46,0.079063
0.1,0.48,0.073929
0.1,0.5,0.072844
0.1,0.52,0.075778
0.1,0.54,0.082542
0.1,0.56,0.092801
0.1,0.58,0.10609
0.1,0.6,0.12184
0.1,0.62,0.13939
0.1,0.64,0.15804
0.1,0.66,0.17707
0.1,0.68,0.19574
0.1,0.7,0.21336
0.1,0.72,0.22929
0.1,0.74,0.24295
0.1,0.76,0.25387
0.1,0.78,0.26168
0.1,0.8,0.2661
0.1,0.82,0.26697
0.1,0.84,0.26425
0.1,0.86,0.258
0.1,0.88,0.24836
0.1,0.9,0.23558
0.1,0.92,0.21995
0.1,0.94,0.20183
0.1,0.96,0.18163
0.1,0.98,0.15975
0.1,1,0.13662
0.12,0,0.031046
0.12,0.02,0.077765
0.12,0.04,0.12197
0.12,0.06,0.16278
0.12,0.08,0.19942
0.12,0.1,0.23119
0.12,0.12,0.25755
0.12,0.14,0.2781
0.12,0.16,0.29261
0.12,0.18,0.30103
0.12,0.2,0.30351
0.12,0.22,0.30036
0.12,0.24,0.29207
0.12,0.26,0.27929
0.12,0.28,0.26281
0.12,0.3,0.24348
0.12,0.32,0.22228
0.12,0.34,0.20017
0.12,0.36,0.17814
0.12,0.38,0.15712
0.12,0.4,0.138
0.12,0.42,0.12152
0.12,0.44,0.10832
0.12,0.46,0.098886
0.12,0.48,0.093531
0.12,0.5,0.092397
0.12,0.52,0.095453
0.12,0.54,0.1025
0.12,0.56,0.1132
0.12,0.58,0.12706
0.12,0.6,0.14348
0.12,0.62,0.16179
0.12,0.64,0.18124
0.12,0.66,0.20109
0.12,0.68,0.22057
0.12,0.7,0.23895
0.12,0.72,0.25557
0.12,0.74,0.26982
0.12,0.76,0.28121
0.12,0.78,0.28934
0.12,0.8,0.29393
0.12,0.82,0.29481
0.12,0.84,0.29193
0.12,0.86,0.28535
0.12,0.88,0.27522
0.12,0.9,0.26179
0.12,0.92,0.24537
0.12,0.94,0.22633
0.12,0.96,0.2051
0.12,0.98,0.18209
0.12,1,0.15777
0.14,0,0.044341
0.14,0.02,0.092575
0.14,0.04,0.1382
0.14,0.06,0.18032
0.14,0.08,0.21813
0.14,0.1,0.25091
0.14,0.12,0.2781
0.14,0.14,0.29929
0.14,0.16,0.31426
0.14,0.18,0.32294
0.14,0.2,0.32548
0.14,0.22,0.32222
0.14,0.24,0.31367
0.14,0.26,0.30049
0.14,0.28,0.28347
0.14,0.3,0.26354
0.14,0.32,0.24166
0.14,0.34,0.21885
0.14,0.36,0.19613
0.14,0.38,0.17445
0.14,0.4,0.15472
0.14,0.42,0.13772
0.14,0.44,0.1241
0.14,0.46,0.11437
0.14,0.48,0.10884
0.14,0.5,0.10767
0.14,0.52,0.11082
0.14,0.54,0.11809
0.14,0.56,0.12912
0.14,0.58,0.14342
0.14,0.6,0.16037
0.14,0.62,0.17926
0.14,0.64,0.19934
0.14,0.66,0.21983
0.14,0.68,0.23993
0.14,0.7,0.2589
0.14,0.72,0.27605
0.14,0.74,0.29076
0.14,0.76,0.30251
0.14,0.78,0.31089
0.14,0.8,0.31561
0.14,0.82,0.3165
0.14,0.84,0.31349
0.14,0.86,0.30666
0.14,0.88,0.29615
0.14,0.9,0.28221
0.14,0.92,0.26518
0.14,0.94,0.24543
0.14,0.96,0.22339
0.14,0.98,0.19951
0.14,1,0.17426
0.16,0,0.053763
0.16,0.02,0.10306
0.16,0.04,0.14969
0.16,0.06,0.19272
0.16,0.08,0.23135
0.16,0.1,0.26484
0.16,0.12,0.29261
0.16,0.14,0.31426
0.16,0.16,0.32953
0.16,0.18,0.33839
0.16,0.2,0.34099
0.16,0.22,0.33766
0.16,0.24,0.32892
0.16,0.26,0.31545
0.16,0.28,0.29807
0.16,0.3,0.2777
0.16,0.32,0.25536
0.16,0.34,0.23206
0.16,0.36,0.20884
0.16,0.38,0.1867
0.16,0.4,0.16654
0.16,0.42,0.14917
0.16,0.44,0.13526
0.16,0.46,0.12532
0.16,0.48,0.11967
0.16,0.5,0.11847
0.16,0.52,0.12169
0.16,0.54,0.12912
0.16,0.56,0.14039
0.16,0.58,0.155
0.16,0.6,0.17231
0.16,0.62,0.19161
0.16,0.64,0.21213
0.16,0.66,0.23306
0.16,0.68,0.25361
0.16,0.7,0.27299
0.16,0.72,0.29052
0.16,0.74,0.30555
0.16,0.76,0.31755
0.16,0.78,0.32611
0.16,0.8,0.33092
0.16,0.82,0.33181
0.16,0.84,0.32872
0.16,0.86,0.3217
0.16,0.88,0.31092
0.16,0.9,0.29663
0.16,0.92,0.27917
0.16,0.94,0.25892
0.16,0.96,0.23631
0.16,0.98,0.21182
0.16,1,0.1859
0.18,0,0.059271
0.18,0.02,0.10918
0.18,0.04,0.15638
0.18,0.06,0.19994
0.18,0.08,0.23903
0.18,0.1,0.27292
0.18,0.12,0.30103
0.18,0.14,0.32294
0.18,0.16,0.33839
0.18,0.18,0.34736
0.18,0.2,0.34998
0.18,0.22,0.34661
0.18,0.24,0.33776
0.18,0.26,0.32413
0.18,0.28,0.30654
0.18,0.3,0.28593
0.18,0.32,0.26331
0.18,0.34,0.23973
0.18,0.36,0.21623
0.18,0.38,0.19382
0.18,0.4,0.17342
0.18,0.42,0.15585
0.18,0.44,0.14177
0.18,0.46,0.1317
0.18,0.48,0.12599
0.18,0.5,0.12477
0.18,0.52,0.12803
0.18,0.54,0.13555
0.18,0.56,0.14696
0.18,0.58,0.16174
0.18,0.6,0.17926
0.18,0.62,0.1988
0.18,0.64,0.21957
0.18,0.66,0.24076
0.18,0.68,0.26155
0.18,0.7,0.28118
0.18,0.72,0.29892
0.18,0.74,0.31413
0.18,0.76,0.32628
0.18,0.78,0.33493
0.18,0.8,0.3398
0.18,0.82,0.34069
0.18,0.84,0.33754
0.18,0.86,0.33042
0.18,0.88,0.31949
0.18,0.9,0.305
0.18,0.92,0.28728
0.18,0.94,0.26674
0.18,0.96,0.24381
0.18,0.98,0.21896
0.18,1,0.19267
0.2,0,0.060944
0.2,0.02,0.11102
0.2,0.04,0.15837
0.2,0.06,0.20208
0.2,0.08,0.2413
0.2,0.1,0.27531
0.2,0.12,0.30351
0.2,0.14,0.32548
0.2,0.16,0.34099
0.2,0.18,0.34998
0.2,0.2,0.35262
0.2,0.22,0.34923
0.2,0.24,0.34035
0.2,0.26,0.32667
0.2,0.28,0.30902
0.2,0.3,0.28835
0.2,0.32,0.26565
0.2,0.34,0.242
0.2,0.36,0.21843
0.2,0.38,0.19594
0.2,0.4,0.17548
0.2,0.42,0.15784
0.2,0.44,0.14372
0.2,0.46,0.13362
0.2,0.48,0.12788
0.2,0.5,0.12666
0.2,0.52,0.12993
0.2,0.54,0.13747
0.2,0.56,0.14892
0.2,0.58,0.16375
0.2,0.6,0.18133
0.2,0.62,0.20093
0.2,0.64,0.22177
0.2,0.66,0.24303
0.2,0.68,0.26389
0.2,0.7,0.28359
0.2,0.72,0.30138
0.2,0.74,0.31665
0.2,0.76,0.32883
0.2,0.78,0.33752
0.2,0.8,0.3424
0.2,0.82,0.34329
0.2,0.84,0.34013
0.2,0.86,0.33298
0.2,0.88,0.322
0.2,0.9,0.30745
0.2,0.92,0.28966
0.2,0.94,0.26904
0.2,0.96,0.24602
0.2,0.98,0.22107
0.2,1,0.19467
0.22,0,0.058982
0.22,0.02,0.10881
0.22,0.04,0.15593
0.22,0.06,0.19943
0.22,0.08,0.23846
0.22,0.1,0.27229
0.22,0.12,0.30036
0.22,0.14,0.32222
0.22,0.16,0.33766
0.22,0.18,0.34661
0.22,0.2,0.34923
0.22,0.22,0.34586
0.22,0.24,0.33702
0.22,0.26,0.32341
0.22,0.28,0.30585
0.22,0.3,0.28527
0.22,0.32,0.26269
0.22,0.34,0.23915
0.22,0.36,0.21569
0.22,0.38,0.19332
0.22,0.4,0.17295
0.22,0.42,0.1554
0.22,0.44,0.14135
0.22,0.46,0.1313
0.22,0.48,0.12559
0.22,0.5,0.12438
0.22,0.52,0.12763
0.22,0.54,0.13514
0.22,0.56,0.14653
0.22,0.58,0.16128
0.22,0.6,0.17878
0.22,0.62,0.19829
0.22,0.64,0.21902
0.22,0.66,0.24017
0.22,0.68,0.26094
0.22,0.7,0.28053
0.22,0.72,0.29824
0.22,0.74,0.31343
0.22,0.76,0.32556
0.22,0.78,0.3342
0.22,0.8,0.33906
0.22,0.82,0.33995
0.22,0.84,0.33681
0.22,0.86,0.3297
0.22,0.88,0.31878
0.22,0.9,0.30431
0.22,0.92,0.28662
0.22,0.94,0.26611
0.22,0.96,0.24321
0.22,0.98,0.2184
0.22,1,0.19215
0.24,0,0.053699
0.24,0.02,0.1029
0.24,0.04,0.14943
0.24,0.06,0.19239
0.24,0.08,0.23093
0.24,0.1,0.26435
0.24,0.12,0.29207
0.24,0.14,0.31367
0.24,0.16,0.32892
0.24,0.18,0.33776
0.24,0.2,0.34035
0.24,0.22,0.33702
0.24,0.24,0.3283
0.24,0.26,0.31486
0.24,0.28,0.29751
0.24,0.3,0.27719
0.24,0.32,0.25489
0.24,0.34,0.23163
0.24,0.36,0.20847
0.24,0.38,0.18637
0.24,0.4,0.16625
0.24,0.42,0.14892
0.24,0.44,0.13504
0.24,0.46,0.12511
0.24,0.48,0.11948
0.24,0.5,0.11828
0.24,0.52,0.12149
0.24,0.54,0.1289
0.24,0.56,0.14015
0.24,0.58,0.15473
0.24,0.6,0.17201
0.24,0.62,0.19127
0.24,0.64,0.21175
0.24,0.66,0.23264
0.24,0.68,0.25314
0.24,0.7,0.27249
0.24,0.72,0.28998
0.24,0.74,0.30498
0.24,0.76,0.31696
0.24,0.78,0.3255
0.24,0.8,0.3303
0.24,0.82,0.33118
0.24,0.84,0.32809
0.24,0.86,0.32109
0.24,0.88,0.31032
0.24,0.9,0.29606
0.24,0.92,0.27862
0.24,0.94,0.2584
0.24,0.96,0.23583
0.24,0.98,0.21138
0.24,1,0.18551
0.26,0,0.045508
0.26,0.02,0.093752
0.26,0.04,0.13938
0.26,0.06,0.18151
0.26,0.08,0.21932
0.26,0.1,0.2521
0.26,0.12,0.27929
0.26,0.14,0.30049
0.26,0.16,0.31545
0.26,0.18,0.32413
0.26,0.2,0.32667
0.26,0.22,0.32341
0.26,0.24,0.31486
0.26,0.26,0.30167
0.26,0.28,0.28466
0.26,0.3,0.26472
0.26,0.32,0.24284
0.26,0.34,0.22003
0.26,0.36,0.19731
0.26,0.38,0.17563
0.26,0.4,0.15589
0.26,0.42,0.13889
0.26,0.44,0.12528
0.26,0.46,0.11554
0.26,0.48,0.11001
0.26,0.5,0.10884
0.26,0.52,0.11199
0.26,0.54,0.11926
0.26,0.56,0.1303
0.26,0.58,0.1446
0.26,0.6,0.16154
0.26,0.62,0.18044
0.26,0.64,0.20052
0.26,0.66,0.22101
0.26,0.68,0.24112
0.26,0.7,0.26009
0.26,0.72,0.27724
0.26,0.74,0.29195
0.26,0.76,0.3037
0.26,0.78,0.31208
0.26,0.8,0.3168
0.26,0.82,0.31768
0.26,0.84,0.31467
0.26,0.86,0.30782
0.26,0.88,0.2973
0.26,0.9,0.28335
0.26,0.92,0.2663
0.26,0.94,0.24653
0.26,0.96,0.22446
0.26,0.98,0.20055
0.26,1,0.17526
0.28,0,0.034911
0.28,0.02,0.081925
0.28,0.04,0.1264
0.28,0.06,0.16746
0.28,0.08,0.20432
0.28,0.1,0.23629
0.28,0.12,0.26281
0.28,0.14,0.28347
0.28,0.16,0.29807
0.28,0.18,0.30654
0.28,0.2,0.30902
0.28,0.22,0.30585
0.28,0.24,0.29751
0.28,0.26,0.28466
0.28,0.28,0.26807
0.28,0.3,0.24863
0.28,0.32,0.2273
0.28,0.34,0.20506
0.28,0.36,0.1829
0.28,0.38,0.16176
0.28,0.4,0.14251
0.28,0.42,0.12594
0.28,0.44,0.11266
0.28,0.46,0.10317
0.28,0.48,0.097782
0.28,0.5,0.09664
0.28,0.52,0.099714
0.28,0.54,0.10681
0.28,0.56,0.11757
0.28,0.58,0.13151
0.28,0.6,0.14803
0.28,0.62,0.16645
0.28,0.64,0.18602
0.28,0.66,0.20599
0.28,0.68,0.22559
0.28,0.7,0.24409
0.28,0.72,0.26081
0.28,0.74,0.27515
0.28,0.76,0.2866
0.28,0.78,0.29478
0.28,0.8,0.29939
0.28,0.82,0.30026
0.28,0.84,0.29735
0.28,0.86,0.29071
0.28,0.88,0.2805
0.28,0.9,0.26695
0.28,0.92,0.2504
0.28,0.94,0.2312
0.28,0.96,0.20978
0.28,0.98,0.18658
0.28,1,0.16204
0.3,0,0.022476
0.3,0.02,0.068051
0.3,0.04,0.11117
0.3,0.06,0.151
0.3,0.08,0.18675
0.3,0.1,0.21776
0.3,0.12,0.24348
0.3,0.14,0.26354
0.3,0.16,0.2777
0.3,0.18,0.28593
0.3,0.2,0.28835
0.3,0.22,0.28527
0.3,0.24,0.27719
0.3,0.26,0.26472
0.3,0.28,0.24863
0.3,0.3,0.22978
0.3,0.32,0.20908
0.3,0.34,0.1875
0.3,0.36,0.166
0.3,0.38,0.14549
0.3,0.4,0.12683
0.3,0.42,0.11075
0.3,0.44,0.097868
0.3,0.46,0.088662
0.3,0.48,0.083436
0.3,0.5,0.082331
0.3,0.52,0.085314
0.3,0.54,0.092196
0.3,0.56,0.10263
0.3,0.58,0.11616
0.3,0.6,0.13218
0.3,0.62,0.15004
0.3,0.64,0.16903
0.3,0.66,0.18839
0.3,0.68,0.2074
0.3,0.7,0.22533
0.3,0.72,0.24154
0.3,0.74,0.25545
0.3,0.76,0.26656
0.3,0.78,0.2745
0.3,0.8,0.27898
0.3,0.82,0.27985
0.3,0.84,0.27706
0.3,0.86,0.27066
0.3,0.88,0.26081
0.3,0.9,0.24774
0.3,0.92,0.23176
0.3,0.94,0.21324
0.3,0.96,0.19258
0.3,0.98,0.1702
0.3,1,0.14654
0.32,0,0.0088167
0.32,0.02,0.052816
0.32,0.04,0.094457
0.32,0.06,0.13292
0.32,0.08,0.16746
0.32,0.1,0.19742
0.32,0.12,0.22228
0.32,0.14,0.24166
0.32,0.16,0.25536
0.32,0.18,0.26331
0.32,0.2,0.26565
0.32,0.22,0.26269
0.32,0.24,0.25489
0.32,0.26,0.24284
0.32,0.28,0.2273
0.32,0.3,0.20908
0.32,0.32,0.18908
0.32,0.34,0.16823
0.32,0.36,0.14746
0.32,0.38,0.12764
0.32,0.4,0.1096
0.32,0.42,0.094066
0.32,0.44,0.081624
0.32,0.46,0.072731
0.32,0.48,0.067684
0.32,0.5,0.066617
0.32,0.52,0.069502
0.32,0.54,0.076152
0.32,0.56,0.086238
0.32,0.58,0.099301
0.32,0.6,0.11478
0.32,0.62,0.13203
0.32,0.64,0.15037
0.32,0.66,0.16907
0.32,0.68,0.18743
0.32,0.7,0.20475
0.32,0.72,0.2204
0.32,0.74,0.23383
0.32,0.76,0.24457
0.32,0.78,0.25224
0.32,0.8,0.25659
0.32,0.82,0.25745
0.32,0.84,0.25479
0.32,0.86,0.24865
0.32,0.88,0.2392
0.32,0.9,0.22665
0.32,0.92,0.21131
0.32,0.94,0.19353
0.32,0.96,0.17369
0.32,0.98,0.15222
0.32,1,0.12953
0.34,0,-0.0054294
0.34,0.02,0.036927
0.34,0.04,0.077025
0.34,0.06,0.11407
0.34,0.08,0.14734
